99,17,10,28,20,0
117,26,18,28,21,1
158,17,13,36,23,9
117,10,12,26,18,2
110,12,16,22,23,3
129,16,10,23,17,3
113,30,19,27,16,1
136,20,14,32,31,4
123,11,22,19,25,6
115,21,18,24,28,6
120,15,10,30,21,2
135,24,27,26,24,5
149,25,9,30,28,5
123,18,9,34,29,5
124,19,16,40,19,7
128,9,14,24,21,8
136,15,10,23,28,6
116,15,17,15,28,13
139,18,14,28,27,5
138,26,20,36,24,2
97,16,13,20,18,6
141,15,25,28,26,5
118,11,22,30,28,8
104,10,15,26,23,3
155,16,18,30,18,7
140,15,15,36,28,2
122,17,14,25,23,5
136,16,13,26,26,3
138,15,9,26,24,5
163,28,16,39,35,5
141,15,8,25,26,6
145,20,17,21,20,8
152,12,12,21,21,3
150,21,15,32,26,9
135,15,23,26,24,1
116,21,13,27,20,7
134,13,14,24,28,5
149,19,12,26,37,2
120,14,7,34,21,8
160,21,12,30,30,5
146,16,11,41,17,6
165,15,15,24,28,4
154,27,19,41,29,8
142,7,14,11,33,7
128,11,16,27,26,3
133,18,17,31,22,6
140,18,11,24,27,5
122,14,19,37,16,6
162,15,17,30,24,3
144,15,23,36,24,4
147,18,18,35,24,10
130,15,13,24,26,3
139,22,20,31,24,7
122,14,14,20,24,9
122,10,16,27,24,6
146,16,20,31,35,7
119,25,25,24,27,6
134,19,16,39,28,7
125,21,21,30,19,1
119,23,20,33,28,1
156,25,16,42,24,4
107,9,15,20,21,5
138,11,13,22,18,1
146,17,13,34,23,5
127,17,18,21,18,3
157,19,13,31,24,3
149,31,31,36,22,2
108,23,11,42,18,4
142,30,15,34,23,3
147,12,11,27,25,8
115,9,12,26,13,8
129,12,7,24,19,10
158,7,20,19,21,3
136,18,15,28,29,9
149,8,21,30,20,3
130,13,13,18,23,1
116,9,11,21,19,2
101,17,16,34,21,9
106,14,21,22,22,2
147,19,17,40,23,5
127,22,24,33,21,6
168,16,15,28,29,1
116,19,10,28,27,3
145,17,16,45,22,5
146,26,14,38,16,2
132,19,14,23,13,8
109,9,12,30,23,4
127,18,18,36,25,4
124,17,18,29,22,4
130,13,22,32,20,0
136,14,14,30,19,5
128,11,17,23,22,3
148,14,17,21,24,8
140,20,17,18,27,3
128,14,15,29,21,5
154,23,19,39,16,11
139,16,13,22,20,2
